				
Criteria 	Type	Range 	Normal	Preferred form
Exposure 				
local examination- to be typed	Free text			TEXT BOX
Temperature (in degrees Farenheit)	Rational Number to one decimal place	95.0 - 105.0 - / ADD  - NR AT TOP	>97.0, <99.1	CHOOSER
				
ECG	Normal/abnormal			RADIO
CBG (capillary blood glucose in mg/dl)	Positive whole number	0 - 500	>70, <140	CHOOSER
POCUS 				
Lungs				
Lung sliding right left (create in parallel) 	Y/N		Y	RADIO
Multiple B lines right left	Y/N		N	RADIO
Ragged pleura right left	Y/N		N	RADIO
Effusion right left	Y/N		N	RADIO
Cardia 				
Hyper dynamic	Y/N			RADIO
RWMA	Y/N			RADIO
Global hypokinesia	Y/N			RADIO
EF 	Positive whole number	0 - 100	Graded: >30%, >50%	CHOOSER
IVC- >50% collapsibility	Y/N			RADIO
				
FAST				
If fast field is positive then accept below values or disable it 				
Subxiphoid (Pericardial free fluid Yes/No)	Y/N		N	RADIO
Right upper quadrant (Hepatorenal pouch free fluid Yes/No)	Y/N		N	RADIO
Left upper quadrant (Splenorenal free fluid Yes/No)	Y/N		N	RADIO
Suprapubic (free fluid Yes/No)	Y/N		N	RADIO
				
ABG 				
pH	Rational Number to two decimal places	6.5 to 7.60 	>7.34, <7.46 	CHOOSER
pCO2	Positive whole number	0 - 130	>34, <46	CHOOSER
pO2	Positive whole number	0 - 500	>74	CHOOSER
HCo3,24-28	Positive whole number	0 - 50	>23, <29	CHOOSER
Lactate 0.5-1.6	Rational Number to one decimal place	0.1 TO 30	>0.4, <1.7	CHOOSER
Base deficit, -2 to +2	Integer	-10 TO +5	>-2, <+2	CHOOSER
				
Pain score- 0-3- mild, 3-7- moderate, >7- severe	Positive whole number	0 - 10	Graded: 1-3- mild, 4-7- moderate, >7- severe	SLIDER 
				
Systemic examination				
				
RS 				
Decreased air entry- right left (SIDE BY SIDE )	Y/N		N	RADIO
Rhonchi- right left	Y/N		N	RADIO
Crepts- right left	Y/N		N	RADIO
				
PA 				
Distention	Y/N		N	RADIO
Tenderness	Y/N		N	RADIO
Guarding	Y/N		N	RADIO
Rigidity	Y/N		N	RADIO
Bowel sounds	Y/N		Y	RADIO
				
CNS				
Neck rigidity	Y/N		N	RADIO
				
Investigations				
Hb - 13-16.5 mg/dl	Rational Number to one decimal place	01/01/20	>9, <17	CHOOSER
WBC count-  4000-1100 /cc m	Positive whole number	50 - 1.00.000	>50, <50,000	CHOOSER
Normal WBC count with greater than 10 percent immature forms.		0 -  15		CHOOSER
Platelets- 1.5 lakh- 3 lakh	Positive whole number	500- 5,00,000	>1,00,000, <3,50,000	CHOOSER
Hyperglycemia (plasma glucose >140 mg/dL) in the absence of diabetes.	Positive whole number	0 - 1000	>70, <140	CHOOSER
CRP- 0-5 mg/L	Positive whole number	0 - 300	> 0, <10	CHOOSER
Sodium- 136-145 mEq/dL	Positive whole number	95 - 155	>125, <145	CHOOSER
Potassium- 3.5-5.1 mEq/dL	Rational Number to one decimal place	01/09/24	>1, <10	CHOOSER
Chloride- 98-107 mEq/dL	Positive whole number	90 - 110	>95, <108	CHOOSER
Urea- 12.6-42.6 mg/dL	Rational Number to one decimal place	01/10/50	>10, <45	CHOOSER
Creatinine- 0.7-1.3 mg/dL	Rational Number to one decimal place	0.5 - 20	>0.5, <1.2	CHOOSER
PT- 10.8-16.2 seconds	Rational Number to one decimal place	01/08/50	>10, <16.2	CHOOSER
aPTT- 25-38 seconds	Rational Number to one decimal place	15 - 100	>25, <38	CHOOSER
INR- 0.9-1.1	Rational Number to one decimal place	 0.0 - 7	>0.9, <1.1	CHOOSER
Total Bilirubin- 0-1.2 mg/dL	Rational Number to one decimal place	 0 - 50	>0, <1.2	CHOOSER
Direct Bilirubin- 0-.0.2 mg/dL	Rational Number to one decimal place	 0 - 50	>0, <0.2	CHOOSER
Indirect Bilirubin- 0-1 mg/dL	Rational Number to one decimal place	 0 - 30	>0, <1	CHOOSER
SGOT- 0-40 U/L	Positive whole number	 0 - 5000	>0, <40	CHOOSER
SGPT- 0-41 u/L	Positive whole number	 0 - 5000	>0, <41	CHOOSER
ALP- 40-129 U/L	Positive whole number	 20 - 500	>40, <129	CHOOSER
Albumin- 3.5-5.3g/dL	Rational Number to one decimal place	01/06/24	>3.5, <5.3	CHOOSER
TSH- 0.2-4.2 micro IU/mL	Rational Number to one decimal place	 0 - 100	>0.2, <5	CHOOSER
Procalcitonin- <0.05	Rational Number to one decimal place	 0 - 200	<0.05 	CHOOSER
Trop T- 0.01-0.02 ng/mL	Rational Number to two decimal place	 0 - 20	>0.01, <0.02	CHOOSER
CKMB- 0-4.94 ng/mL	Rational Number to two decimal place	 0 - 20	>0, <4.94	CHOOSER
Cultures isolate- to be typed	Free text			
				
ALL FIELDS ARE SUPPOSE TO SEPARATE TABS 				
Imaging				
CXR	Free text			
Other relevant X ray	Free text			
USG- abdomen and Pelvis	Free text			
Any other relevant USG	Free text			
Relevant CT	Free text			
2D ECHO	Free text			
Relevant MRI	Free text			
				
Treatment				
Need for escalation of antibiotics	Y/N		N	RADIO
Use of vasopressors	Y/N		N	RADIO
Need for Mechanical ventilation	Y/N		N	RADIO
Need for dialysis	Y/N		N	RADIO
Procedural need for source control	Y/N		N	RADIO
				
PHYSICIAN DIAGNOSIS 				
